,Código del Set,Nombre del Set,Fecha de Lanzamiento,Año de Lanzamiento,PVP $,Precio como Nuevo $,Precio como Usado $,Valoración de Usuarios,Porcentaje como nuevo,Porcentaje como usado
555,75225,Elite Praetorian Guard Battle Pack,1 Jan 2019 - 31 Dec 2019 (11m 29d),2019,14.99,30.536000000000005,20.229000000000003,✭✭✭✭✩ 3.8 582 ratings 5 reviews Brickset review,103.71,34.95
556,75226,Inferno Squad Battle Pack,1 Jan 2019 - 31 Dec 2019 (11m 29d),2019,14.99,45.21000000000001,33.99,✭✭✭✭✩ 3.8 530 ratings 6 reviews Brickset review,201.6,126.75
557,75227,Darth Vader Bust,1 Apr 2019 - 31 Dec 2019 (9m),2019,39.99,139.92000000000002,59.521,✭✭✭✭✩ 4.1 73 ratings,249.89,48.84
558,75228,Escape Pod vs. Dewback Microfighters,1 Jan 2019 - 31 Dec 2019 (11m 29d),2019,19.99,47.047000000000004,32.417,✭✭✭✭✩ 4.0 415 ratings 6 reviews Brickset review,135.35,62.17
559,75229,Death Star Escape,1 Jan 2019 - 31 Dec 2019 (11m 29d),2019,29.99,44.055,31.933000000000003,✭✭✭✭✩ 3.8 446 ratings 4 reviews Brickset review,46.9,6.48
560,75230,Porg,1 Oct 2018 - 31 Dec 2019 (1y 2m 29d),2018,69.99,114.49900000000001,76.186,✭✭✭✭✩ 4.2 310 ratings 3 reviews Brickset review,63.59,8.85
561,75233,Droid Gunship,1 Jan 2019 - 31 Dec 2019 (11m 29d),2019,49.99,164.06500000000003,94.061,✭✭✭✭✩ 4.0 253 ratings 3 reviews Brickset review,228.2,88.16
562,75234,AT-AP Walker,1 Jan 2019 - 31 Dec 2020 (1y 11m 29d),2019,59.99,154.11,118.31600000000002,✭✭✭✭✩ 4.2 374 ratings 4 reviews Brickset review,156.89,97.23
563,75235,X-wing Starfighter Trench Run,1 Jan 2019 - 31 Dec 2020 (1y 11m 29d),2019,29.99,36.63,19.019000000000002,✭✭✭✩✩ 3.2 116 ratings 3 reviews,22.14,-36.58
564,75236,Duel on Starkiller Base,1 Apr 2019 - 31 Jul 2020 (1y 4m),2019,19.99,33.275000000000006,18.843,✭✭✭✭✩ 3.7 308 ratings 3 reviews Brickset review,66.46,-5.74
565,75237,TIE Fighter Attack,1 Jan 2019 - 31 Jul 2020 (1y 6m 29d),2019,19.99,31.944000000000003,26.180000000000003,✭✭✭✭✩ 3.4 171 ratings 1 review Brickset review,59.8,30.97
566,75238,Action Battle Endor Assault,1 Apr 2019 - 31 Jul 2020 (1y 4m),2019,29.99,24.167,12.969,✭✭✭✩✩ 3.2 127 ratings,-19.42,-56.76
567,75239,Action Battle Hoth Generator Attack,1 Apr 2019 - 31 Jul 2020 (1y 4m),2019,29.99,19.151000000000003,13.211,✭✭✭✭✩ 3.3 96 ratings 2 reviews,-36.14,-55.95
568,75240,Major Vonreg's TIE Fighter,1 Apr 2019 - 31 Dec 2020 (1y 9m),2019,69.99,110.176,76.956,✭✭✭✭✩ 4.1 281 ratings 3 reviews Brickset review,57.42,9.95
569,75241,Action Battle Echo Base Defense,1 Apr 2019 - 31 Dec 2020 (1y 9m),2019,59.99,53.284,34.364000000000004,✭✭✭✭✩ 3.5 98 ratings 1 review,-11.18,-42.72
570,75242,Black Ace TIE Interceptor,1 Apr 2019 - 31 Dec 2020 (1y 9m),2019,49.99,63.61300000000001,47.663000000000004,✭✭✭✭✩ 3.8 191 ratings 1 review,27.25,-4.65
571,75243,Slave I - 20th Anniversary Edition,1 Apr 2019 - 31 Dec 2020 (1y 9m),2019,119.99,191.01500000000001,160.237,✭✭✭✭✭ 4.5 796 ratings 7 reviews Brickset review,59.19,33.54
572,75244,Tantive IV,4 May 2019 - 31 Dec 2020 (1y 7m 28d),2019,199.99,288.211,215.90800000000002,✭✭✭✭✭ 4.4 609 ratings 8 reviews Brickset review,44.11,7.96
573,75245,LEGO Star Wars Advent Calendar,1 Sep 2019 - 31 Dec 2019 (3m 29d),2019,39.99,37.642,26.026000000000003,✭✭✭✭✩ 3.6 315 ratings 1 review,-5.87,-34.92
574,75246,Death Star Cannon,4 Oct 2019 - 31 Dec 2020 (1y 2m 27d),2019,19.99,20.251,13.299000000000001,✭✭✭✭✩ 3.5 350 ratings 1 review Brickset review,1.31,-33.47
575,75247,Rebel A-wing Starfighter,1 Jan 2019 - 31 Dec 2019 (11m 29d),2019,14.99,25.377000000000002,19.173000000000002,✭✭✭✩✩ 3.2 131 ratings 1 review,69.29,27.91
576,75248,Resistance A-wing Starfighter,4 Oct 2019 - 31 Dec 2020 (1y 2m 27d),2019,29.99,42.405,24.783000000000005,✭✭✭✭✩ 4.0 613 ratings 3 reviews Brickset review,41.4,-17.36
577,75249,Resistance Y-wing Starfighter,4 Oct 2019 - 31 Dec 2021 (2y 2m 27d),2019,69.99,63.61300000000001,48.873000000000005,✭✭✭✭✩ 4.0 530 ratings 4 reviews Brickset review,-9.11,-30.17
578,75250,Pasaana Speeder Chase,4 Oct 2019 - 31 Dec 2020 (1y 2m 27d),2019,39.99,41.25,27.467000000000002,✭✭✭✭✩ 3.7 342 ratings 3 reviews Brickset review,3.15,-31.32
579,75251,Darth Vader's Castle,Año no disponible,2019,129.99,183.54600000000002,148.06,✭✭✭✭✭ 4.4 559 ratings 3 reviews Brickset review,41.2,13.9
580,75252,Imperial Star Destroyer,1 Oct 2019 - 31 Dec 2022 (3y 2m 30d),2019,699.99,928.7520000000002,572.33,✭✭✭✭✭ 4.4 395 ratings 3 reviews Brickset review,32.68,-18.24
581,75253,Droid Commander,15 Jul 2019 - 31 Dec 2020 (1y 5m 17d),2019,199.99,173.89900000000003,130.526,✭✭✭✭✩ 3.7 86 ratings 1 review,-13.05,-34.73
582,75254,AT-ST Raider,4 Oct 2019 - 31 Dec 2021 (2y 2m 27d),2019,49.99,40.601,28.908000000000005,✭✭✭✭✩ 4.0 900 ratings 8 reviews Brickset review,-18.78,-42.17
583,75255,Yoda,4 Oct 2019 - 31 Dec 2022 (3y 2m 27d),2019,99.99,105.556,45.672000000000004,✭✭✭✭✩ 4.1 400 ratings 4 reviews Brickset review,5.57,-54.32
584,75256,Kylo Ren's Shuttle,4 Oct 2019 - 31 Dec 2021 (2y 2m 27d),2019,129.99,164.153,128.997,✭✭✭✭✭ 4.5 598 ratings 3 reviews Brickset review,26.28,-0.76
585,75257,Millennium Falcon,4 Oct 2019 - 31 Dec 2024 (5y 2m 27d),2019,169.99,,,✭✭✭✭✭ 4.4 623 ratings 2 reviews Brickset review,,
586,75258,Anakin's Podracer – 20th Anniversary Edition,1 Apr 2019 - 31 Dec 2020 (1y 9m),2019,29.99,50.97400000000001,38.24700000000001,✭✭✭✭✩ 4.0 788 ratings 9 reviews Brickset review,69.97,27.53
587,75259,Snowspeeder – 20th Anniversary Edition,1 Apr 2019 - 31 Dec 2019 (9m),2019,39.99,119.41600000000001,86.955,✭✭✭✭✩ 4.1 619 ratings 5 reviews Brickset review,198.61,117.44
588,75261,Clone Scout Walker  – 20th Anniversary Edition,1 Apr 2019 - 31 Dec 2019 (9m),2019,29.99,72.20400000000001,54.681000000000004,✭✭✭✭✩ 4.0 619 ratings 7 reviews Brickset review,140.76,82.33
589,75262,Imperial Dropship  – 20th Anniversary Edition,1 Apr 2019 - 31 Dec 2019 (9m),2019,19.99,42.57000000000001,32.571000000000005,✭✭✭✭✩ 4.0 677 ratings 6 reviews Brickset review,112.96,62.94
590,75263,Resistance Y-wing Microfighter,1 Jan 2020 - 31 Dec 2020 (11m 30d),2020,9.99,15.444,8.404,✭✭✭✭✩ 3.7 327 ratings 3 reviews Brickset review,54.59,-15.88
591,75264,Kylo Ren's Shuttle Microfighter,1 Jan 2020 - 31 Dec 2020 (11m 30d),2020,9.99,32.417,17.204,✭✭✭✭✩ 3.8 384 ratings 4 reviews Brickset review,224.49,72.21
592,75265,T-16 Skyhopper vs Bantha Microfighters,1 Jan 2020 - 31 Dec 2020 (11m 30d),2020,19.99,23.969,18.447000000000003,✭✭✭✭✩ 3.8 340 ratings 5 reviews Brickset review,19.9,-7.72
