Código del Set,Nombre del Set,Año de Lanzamiento,PVP,Precio como Nuevo,Precio como Usado,Valoración de Usuarios
75225,75225:  Elite Praetorian Guard Battle Pack,1 Jan 2019 - 31 Dec 2019 (11m 29d),"$14.99, €14.99 | More",~€27.76,~€18.39,✭✭✭✭✩ 3.8 582 ratings 5 reviews Brickset review
75226,75226:  Inferno Squad Battle Pack,1 Jan 2019 - 31 Dec 2019 (11m 29d),"$14.99, €14.99 | More",~€41.10,~€30.90,✭✭✭✭✩ 3.8 530 ratings 6 reviews Brickset review
75227,75227:  Darth Vader Bust,1 Apr 2019 - 31 Dec 2019 (9m),$39.99,~€127.20,~€54.11,✭✭✭✭✩ 4.1 73 ratings
75228,75228:  Escape Pod vs. Dewback Microfighters,1 Jan 2019 - 31 Dec 2019 (11m 29d),"$19.99, €19.99 | More",~€42.77,~€29.47,✭✭✭✭✩ 4.0 415 ratings 6 reviews Brickset review
75229,75229:  Death Star Escape,1 Jan 2019 - 31 Dec 2019 (11m 29d),"$29.99, €29.99 | More",~€40.05,~€29.03,✭✭✭✭✩ 3.8 446 ratings 4 reviews Brickset review
75230,75230:  Porg,1 Oct 2018 - 31 Dec 2019 (1y 2m 29d),"$69.99, €69.99 | More",~€104.09,~€69.26,✭✭✭✭✩ 4.2 310 ratings 3 reviews Brickset review
75233,75233:  Droid Gunship,1 Jan 2019 - 31 Dec 2019 (11m 29d),"$49.99, €59.99 | More",~€149.15,~€85.51,✭✭✭✭✩ 4.0 253 ratings 3 reviews Brickset review
75234,75234:  AT-AP Walker,1 Jan 2019 - 31 Dec 2020 (1y 11m 29d),"$59.99, €68.23 | More",~€140.10,~€107.56,✭✭✭✭✩ 4.2 374 ratings 4 reviews Brickset review
75235,75235:  X-wing Starfighter Trench Run,1 Jan 2019 - 31 Dec 2020 (1y 11m 29d),"$29.99, €29.23 | More",~€33.30,~€17.29,✭✭✭✩✩ 3.2 116 ratings 3 reviews
75236,75236:  Duel on Starkiller Base,1 Apr 2019 - 31 Jul 2020 (1y 4m),"$19.99, €19.99 | More",~€30.25,~€17.13,✭✭✭✭✩ 3.7 308 ratings 3 reviews Brickset review
75237,75237:  TIE Fighter Attack,1 Jan 2019 - 31 Jul 2020 (1y 6m 29d),"$19.99, €19.99 | More",~€29.04,~€23.80,✭✭✭✭✩ 3.4 171 ratings 1 review Brickset review
75238,75238:  Action Battle Endor Assault,1 Apr 2019 - 31 Jul 2020 (1y 4m),"$29.99, €29.23 | More",~€21.97,~€11.79,✭✭✭✩✩ 3.2 127 ratings
75239,75239:  Action Battle Hoth Generator Attack,1 Apr 2019 - 31 Jul 2020 (1y 4m),"$29.99, €29.23 | More",~€17.41,~€12.01,✭✭✭✭✩ 3.3 96 ratings 2 reviews
75240,75240:  Major Vonreg's TIE Fighter,1 Apr 2019 - 31 Dec 2020 (1y 9m),"$69.99, €68.23 | More",~€100.16,~€69.96,✭✭✭✭✩ 4.1 281 ratings 3 reviews Brickset review
75241,75241:  Action Battle Echo Base Defense,1 Apr 2019 - 31 Dec 2020 (1y 9m),"$59.99, €58.48 | More",~€48.44,~€31.24,✭✭✭✭✩ 3.5 98 ratings 1 review
75242,75242:  Black Ace TIE Interceptor,1 Apr 2019 - 31 Dec 2020 (1y 9m),"$49.99, €48.73 | More",~€57.83,~€43.33,✭✭✭✭✩ 3.8 191 ratings 1 review
75243,75243:  Slave I - 20th Anniversary Edition,1 Apr 2019 - 31 Dec 2020 (1y 9m),"$119.99, €116.97 | More",~€173.65,~€145.67,✭✭✭✭✭ 4.5 796 ratings 7 reviews Brickset review
75244,75244:  Tantive IV,4 May 2019 - 31 Dec 2020 (1y 7m 28d),"$199.99, €194.95 | More",~€262.01,~€196.28,✭✭✭✭✭ 4.4 609 ratings 8 reviews Brickset review
75245,75245:  LEGO Star Wars Advent Calendar,1 Sep 2019 - 31 Dec 2019 (3m 29d),"$39.99, €29.99 | More",~€34.22,~€23.66,✭✭✭✭✩ 3.6 315 ratings 1 review
75246,75246:  Death Star Cannon,4 Oct 2019 - 31 Dec 2020 (1y 2m 27d),"$19.99, €19.49 | More",~€18.41,~€12.09,✭✭✭✭✩ 3.5 350 ratings 1 review Brickset review
75247,75247:  Rebel A-wing Starfighter,1 Jan 2019 - 31 Dec 2019 (11m 29d),"$14.99, €14.99 | More",~€23.07,~€17.43,✭✭✭✩✩ 3.2 131 ratings 1 review
75248,75248:  Resistance A-wing Starfighter,4 Oct 2019 - 31 Dec 2020 (1y 2m 27d),"$29.99, €29.23 | More",~€38.55,~€22.53,✭✭✭✭✩ 4.0 613 ratings 3 reviews Brickset review
75249,75249:  Resistance Y-wing Starfighter,4 Oct 2019 - 31 Dec 2021 (2y 2m 27d),"$69.99, €69.99 | More",~€57.83,~€44.43,✭✭✭✭✩ 4.0 530 ratings 4 reviews Brickset review
75250,75250:  Pasaana Speeder Chase,4 Oct 2019 - 31 Dec 2020 (1y 2m 27d),"$39.99, €48.73 | More",~€37.50,~€24.97,✭✭✭✭✩ 3.7 342 ratings 3 reviews Brickset review
75251,75251:  Darth Vader's Castle,Año no disponible,"$129.99, €129.99 | More",~€166.86,~€134.60,✭✭✭✭✭ 4.4 559 ratings 3 reviews Brickset review
75252,75252:  Imperial Star Destroyer,1 Oct 2019 - 31 Dec 2022 (3y 2m 30d),"$699.99, €699.99 | More",~€844.32,~€520.30,✭✭✭✭✭ 4.4 395 ratings 3 reviews Brickset review
75253,75253:  Droid Commander,15 Jul 2019 - 31 Dec 2020 (1y 5m 17d),"$199.99, €194.95 | More",~€158.09,~€118.66,✭✭✭✭✩ 3.7 86 ratings 1 review
75254,75254:  AT-ST Raider,4 Oct 2019 - 31 Dec 2021 (2y 2m 27d),"$49.99, €59.99 | More",~€36.91,~€26.28,✭✭✭✭✩ 4.0 900 ratings 8 reviews Brickset review
75255,75255:  Yoda,4 Oct 2019 - 31 Dec 2022 (3y 2m 27d),"$99.99, €119.99 | More",~€95.96,~€41.52,✭✭✭✭✩ 4.1 400 ratings 4 reviews Brickset review
75256,75256:  Kylo Ren's Shuttle,4 Oct 2019 - 31 Dec 2021 (2y 2m 27d),"$129.99, €119.99 | More",~€149.23,~€117.27,✭✭✭✭✭ 4.5 598 ratings 3 reviews Brickset review
75257,75257:  Millennium Falcon,4 Oct 2019 - 31 Dec 2024 (5y 2m 27d),"$169.99, €169.99 | More",Precio nuevo no disponible,Precio usado no disponible,✭✭✭✭✭ 4.4 623 ratings 2 reviews Brickset review
75258,75258:  Anakin's Podracer – 20th Anniversary Edition,1 Apr 2019 - 31 Dec 2020 (1y 9m),"$29.99, €29.23 | More",~€46.34,~€34.77,✭✭✭✭✩ 4.0 788 ratings 9 reviews Brickset review
75259,75259:  Snowspeeder – 20th Anniversary Edition,1 Apr 2019 - 31 Dec 2019 (9m),"$39.99, €39.99 | More",~€108.56,~€79.05,✭✭✭✭✩ 4.1 619 ratings 5 reviews Brickset review
75261,75261:  Clone Scout Walker  – 20th Anniversary Edition,1 Apr 2019 - 31 Dec 2019 (9m),"$29.99, €29.99 | More",~€65.64,~€49.71,✭✭✭✭✩ 4.0 619 ratings 7 reviews Brickset review
75262,75262:  Imperial Dropship  – 20th Anniversary Edition,1 Apr 2019 - 31 Dec 2019 (9m),"$19.99, €19.99 | More",~€38.70,~€29.61,✭✭✭✭✩ 4.0 677 ratings 6 reviews Brickset review
75263,75263:  Resistance Y-wing Microfighter,1 Jan 2020 - 31 Dec 2020 (11m 30d),"$9.99, €9.74 | More",~€14.04,~€7.64,✭✭✭✭✩ 3.7 327 ratings 3 reviews Brickset review
75264,75264:  Kylo Ren's Shuttle Microfighter,1 Jan 2020 - 31 Dec 2020 (11m 30d),"$9.99, €9.74 | More",~€29.47,~€15.64,✭✭✭✭✩ 3.8 384 ratings 4 reviews Brickset review
