Código del Set,Nombre del Set,Año de Lanzamiento,PVP,Precio como Nuevo,Precio como Usado,Valoración de Usuarios
76042,76042:  The SHIELD Helicarrier,1 Mar 2015 - 31 Dec 2017 (2y 10m 1d),"$349.99, €349.99 | More",~€427.75,~€328.18,✭✭✭✭✭ 4.4 260 ratings 4 reviews Brickset review
76047,76047:  Black Panther Pursuit,1 Mar 2016 - 31 Dec 2017 (1y 10m),"$29.99, €34.99 | More",~€45.43,~€14.51,✭✭✭✭✩ 3.8 352 ratings 9 reviews
76048,76048:  Iron Skull Sub Attack,1 Jan 2016 - 31 Dec 2016 (11m 30d),"$29.99, €34.99 | More",~€54.67,~€36.79,✭✭✭✭✩ 3.7 227 ratings 4 reviews
76049,76049:  Avenjet Space Mission,1 Jan 2016 - 31 Dec 2016 (11m 30d),"$59.99, €69.99 | More",~€121.63,~€75.08,✭✭✭✭✩ 3.9 210 ratings 4 reviews Brickset review
76050,76050:  Crossbones' Hazard Heist,1 Mar 2016 - 31 Dec 2016 (10m),"$19.99, €24.99 | More",~€25.97,~€13.52,✭✭✭✭✩ 3.6 376 ratings 8 reviews Brickset review
76051,76051:  Super Hero Airport Battle,1 Mar 2016 - 31 Dec 2017 (1y 10m),"$79.99, €79.99 | More",~€110.19,~€114.87,✭✭✭✭✩ 4.2 396 ratings 10 reviews Brickset review
76057,76057:  Spider-Man: Web Warriors Ultimate Bridge Battle,1 Jun 2016 - 31 Dec 2017 (1y 6m 30d),"$99.99, €99.99 | More",~€212.93,~€170.93,✭✭✭✭✭ 4.5 336 ratings 4 reviews Brickset review
76058,76058:  Spider-Man: Ghost Rider Team-Up,1 Jun 2016 - 31 Dec 2017 (1y 6m 30d),"$19.99, €24.99 | More",~€61.13,~€33.01,✭✭✭✭✩ 4.1 408 ratings 11 reviews Brickset review
76059,76059:  Spider-Man: Doc Ock's Tentacle Trap,1 Jun 2016 - 31 Dec 2017 (1y 6m 30d),"$39.99, €49.99 | More",~€52.60,~€39.41,✭✭✭✭✩ 3.7 169 ratings 2 reviews
76060,76060:  Doctor Strange's Sanctum Sanctorum,1 Aug 2016 - 31 Jul 2017 (11m 29d),"$29.99, €34.99 | More",~€43.04,~€32.24,✭✭✭✭✩ 4.1 432 ratings 8 reviews Brickset review
76064,76064:  Mighty Micros: Spider-Man vs. Green Goblin,1 Mar 2016 - 31 Dec 2016 (10m),"$9.99, €9.99 | More",~€13.29,~€5.19,✭✭✭✭✩ 3.3 144 ratings 2 reviews Brickset review
76065,76065:  Mighty Micros: Captain America vs. Red Skull,1 Mar 2016 - 31 Dec 2016 (10m),"$9.99, €9.99 | More",~€13.92,~€7.25,✭✭✭✭✩ 3.4 140 ratings 2 reviews
76066,76066:  Mighty Micros: Hulk vs. Ultron,1 Mar 2016 - 31 Dec 2016 (10m),"$9.99, €9.99 | More",~€21.79,~€7.54,✭✭✭✭✩ 3.5 142 ratings
76067,76067:  Tanker Truck Takedown,1 Aug 2016 - 31 Dec 2017 (1y 4m 30d),"$29.99, €34.99 | More",~€75.76,~€50.22,✭✭✭✭✩ 3.9 202 ratings 5 reviews Brickset review
76071,76071:  Mighty Micros: Spider-Man vs. Scorpion,1 Jan 2017 - 31 Dec 2017 (11m 29d),"$9.99, €9.99 | More",~€23.30,~€8.31,✭✭✭✭✩ 3.4 90 ratings
76072,76072:  Mighty Micros: Iron Man vs. Thanos,1 Jan 2017 - 31 Dec 2017 (11m 29d),"$9.99, €9.99 | More",~€20.34,~€10.69,✭✭✭✭✩ 3.9 172 ratings 2 reviews Brickset review
76073,76073:  Mighty Micros: Wolverine vs. Magneto,1 Jan 2017 - 31 Dec 2017 (11m 29d),"$9.99, €9.99 | More",~€21.03,~€9.13,✭✭✭✭✩ 3.7 144 ratings 2 reviews
76076,76076:  Captain America Jet Pursuit,1 Jan 2017 - 31 Jul 2018 (1y 6m 28d),"$19.99, €24.99 | More",~€51.03,~€19.25,✭✭✭✭✩ 3.5 186 ratings 2 reviews Brickset review
76077,76077:  Iron Man: Detroit Steel Strikes,1 Jan 2017 - 31 Dec 2018 (1y 11m 28d),"$29.99, €34.99 | More",~€60.80,~€38.77,✭✭✭✭✩ 3.9 289 ratings 2 reviews
76078,76078:  Hulk vs. Red Hulk,1 Jan 2017 - 31 Dec 2018 (1y 11m 28d),$59.99 | More,~€147.30,~€111.36,✭✭✭✭✩ 3.3 120 ratings 2 reviews
76079,76079:  Ravager Attack,1 Mar 2017 - 31 Dec 2017 (10m),"$19.99, €24.99 | More",~€36.68,~€23.07,✭✭✭✭✩ 3.6 312 ratings 2 reviews
76080,76080:  Ayesha's Revenge,1 Mar 2017 - 31 Dec 2017 (10m),"$29.99, €34.99 | More",~€61.80,~€57.96,✭✭✭✭✩ 3.9 354 ratings 3 reviews
76081,76081:  The Milano vs. The Abilisk,1 Mar 2017 - 31 Dec 2017 (10m),"$49.99, €49.99 | More",~€130.47,~€92.77,✭✭✭✭✩ 4.0 314 ratings 1 review Brickset review
