Código del Set,Nombre del Set,Año de Lanzamiento,PVP,Precio como Nuevo,Precio como Usado,Valoración de Usuarios
40500,40500:  Wizarding World Minifigure Accessory Set,1 Jun 2021 - 31 Dec 2021 (6m 30d),"$14.99, €14.99 | More",~€20.66,~€13.87,✭✭✭✭✩ 3.9 83 ratings 1 review Brickset review
40577,40577:  Hogwarts: Grand Staircase,15 Jul 2022 - 31 Dec 2022 (5m 16d),PVP no disponible,~€53.72,~€45.80,✭✭✭✭✩ 4.0 90 ratings Brickset review
40598,40598:  Gringotts Vault,Año no disponible,PVP no disponible,~€45.93,~€34.79,✭✭✭✭✩ 3.8 70 ratings Brickset review
40695,40695:  Borgin and Burkes: Floo Network,Año no disponible,PVP no disponible,~€32.20,Precio usado no disponible,✭✭✭✭✩ 4.0 27 ratings Brickset review
65524,65524:  Motorised Hogwarts Express super pack,Año no disponible,PVP no disponible,~€1167.64,Precio usado no disponible,
71043,71043:  Hogwarts Castle,1 Sep 2018 - {t.b.a},"$469.99, €469.99 | More",Precio nuevo no disponible,Precio usado no disponible,✭✭✭✭✭ 4.4 625 ratings 2 reviews Brickset review
75945,75945:  Expecto Patronum,1 Jun 2019 - 31 Dec 2020 (1y 7m),"$19.99, €19.49 | More",~€23.78,~€15.54,✭✭✭✭✩ 3.9 587 ratings 9 reviews Brickset review
75946,75946:  Hungarian Horntail Triwizard Challenge,1 Jun 2019 - 31 Dec 2020 (1y 7m),"$29.99, €34.11 | More",~€39.42,~€25.58,✭✭✭✭✩ 3.7 308 ratings 2 reviews
75947,75947:  Hagrid's Hut: Buckbeak's Rescue,1 Jun 2019 - 31 Dec 2021 (2y 7m),"$59.99, €59.99 | More",~€52.17,~€35.15,✭✭✭✭✩ 4.1 562 ratings 5 reviews Brickset review
75948,75948:  Hogwarts Clock Tower,1 Jun 2019 - 31 Dec 2022 (3y 7m),"$89.99, €99.99 | More",~€62.18,~€48.71,✭✭✭✭✩ 4.2 542 ratings 2 reviews
75950,75950:  Aragog's Lair,1 Aug 2018 - 31 Dec 2019 (1y 4m 30d),"$14.99, €19.99 | More",~€28.19,~€11.61,✭✭✭✭✩ 3.8 557 ratings 8 reviews Brickset review
75951,75951:  Grindelwald's Escape,1 Aug 2018 - 31 Dec 2019 (1y 4m 30d),"$19.99, €29.99 | More",~€19.79,~€13.17,✭✭✭✭✩ 3.8 441 ratings 4 reviews Brickset review
75952,75952:  Newt's Case of Magical Creatures,1 Aug 2018 - 31 Dec 2019 (1y 4m 30d),"$49.99, €49.99 | More",~€57.56,~€34.37,✭✭✭✭✩ 4.2 392 ratings 4 reviews Brickset review
75953,75953:  Hogwarts Whomping Willow,1 Aug 2018 - 31 Dec 2021 (3y 5m),"$69.99, €69.99 | More",~€56.70,~€40.12,✭✭✭✭✩ 4.1 684 ratings 4 reviews Brickset review
75954,75954:  Hogwarts Great Hall,1 Aug 2018 - 31 Jul 2021 (2y 11m 29d),"$99.99, €99.99 | More",~€100.47,~€57.69,✭✭✭✭✭ 4.3 875 ratings 8 reviews Brickset review
75955,75955:  Hogwarts Express,1 Aug 2018 - 31 Dec 2022 (4y 4m 30d),"$79.99, €89.99 | More",~€73.94,~€42.01,✭✭✭✭✩ 4.2 771 ratings 7 reviews Brickset review
