,Código del Set,Nombre del Set,Fecha de Lanzamiento,Año de Lanzamiento,PVP $,Precio como Nuevo $,Precio como Usado $,Valoración de Usuarios,Porcentaje como nuevo,Porcentaje como usado
30,30449,The Milano,1 Mar 2017 - 31 Dec 2017 (10m),2017,,8.239,3.74,✭✭✭✭✩ 3.8 139 ratings 2 reviews Brickset review,,
31,30450,Royal Talon Fighter,1 Jan 2018 - 31 Dec 2018 (11m 29d),2018,3.99,4.752000000000001,2.233,✭✭✭✭✩ 3.5 89 ratings 3 reviews,19.1,-44.04
32,30451,Spider-Man's Mini Spider Crawler,1 Jan 2019 - 31 Dec 2019 (11m 29d),2019,,9.064000000000002,1.815,✭✭✭✭✩ 3.7 123 ratings 4 reviews,,
33,30452,Iron Man and Dum-E,31 Mar 2019 - 31 Dec 2020 (1y 9m 1d),2019,,6.985,3.74,✭✭✭✭✩ 3.8 259 ratings 5 reviews,,
34,30453,Captain Marvel and Nick Fury,1 Jan 2020 - 31 Dec 2020 (11m 30d),2020,4.99,5.841,8.327000000000002,✭✭✭✭✩ 3.9 319 ratings 7 reviews Brickset review,17.05,66.87
35,30454,Shang-Chi and The Great Protector,26 Apr 2021 - 31 Dec 2021 (8m 5d),2021,,5.027000000000001,0.902,✭✭✭✭✩ 3.6 145 ratings 1 review Brickset review,,
36,30525,The Guardians' Ship,3 Mar 2018 - 31 Dec 2018 (9m 29d),2018,3.99,4.642,1.529,✭✭✭✭✩ 3.7 178 ratings 5 reviews Brickset review,16.34,-61.68
37,30610,Giant-Man Hank Pym,Año no disponible,2017,,23.155,15.312000000000001,✭✭✭✭✩ 3.6 71 ratings 2 reviews,,
38,30652,Doctor Strange's Interdimensional Portal,1 Feb 2023 - 31 Dec 2023 (10m 28d),2023,4.99,4.708000000000001,3.2890000000000006,✭✭✭✭✩ 4.1 163 ratings 5 reviews Brickset review,-5.65,-34.09
39,30679,Venom Street Bike,1 Feb 2024 - 31 Dec 2024 (10m 29d),2024,,4.191000000000001,,✭✭✭✭✩ 3.8 35 ratings,,
40,30707,Venom's Museum Heist,Año no disponible,2025,,,,,,
41,40334,Avengers Tower,31 Mar 2019 - 31 Dec 2019 (9m 1d),2019,19.99,33.847,25.971,✭✭✭✭✩ 4.0 234 ratings 2 reviews Brickset review,69.32,29.92
42,40343,Spider-Man and the Museum Break-In,1 Jun 2019 - 31 Dec 2019 (6m 30d),2019,14.99,36.102000000000004,30.602000000000004,✭✭✭✭✩ 3.7 201 ratings 2 reviews Brickset review,140.84,104.15
43,40418,Falcon & Black Widow Team-Up,1 Jun 2020 - 31 Dec 2020 (6m 30d),2020,14.99,14.806000000000003,13.145,✭✭✭✭✩ 3.7 121 ratings 1 review Brickset review,-1.23,-12.31
44,40454,Spider-Man versus Venom and Iron Venom,1 Apr 2021 - 31 Dec 2022 (1y 8m 30d),2021,14.99,25.740000000000002,7.216,✭✭✭✭✩ 3.6 100 ratings,71.71,-51.86
45,40525,Endgame Battle,1 Apr 2022 - 31 Dec 2022 (9m),2022,14.99,14.751000000000001,,✭✭✭✭✩ 3.9 139 ratings 1 review Brickset review,-1.59,
46,66635,Super mech pack,1 Aug 2020 - 31 Dec 2020 (4m 30d),2020,,37.763,,,,
47,66671,Mech Armor Collection,1 Aug 2021 - 31 Dec 2022 (1y 4m 30d),2021,,53.42700000000001,,,,
48,66711,Infinity Saga Collection,1 Aug 2022 - 31 Dec 2022 (4m 30d),2022,,74.415,,✭✭✭✭✩ 4.0 20 ratings,,
49,66785,Marvel Universe Gift Set,Año no disponible,2024,,,,,,
50,75997,Ant-Man and the Wasp,Año no disponible,2018,,103.84000000000002,66.319,1 review,,
51,76004,Spider-Man: Spider-Cycle Chase,1 Jan 2013 - 31 Dec 2014 (1y 11m 28d),2013,19.99,37.49900000000001,16.137,✭✭✭✭✩ 4.0 265 ratings 10 reviews,87.59,-19.27
52,76005,Spider-Man: Daily Bugle Showdown,1 Jan 2013 - 31 Dec 2014 (1y 11m 28d),2013,49.99,111.90300000000002,94.831,✭✭✭✭✩ 4.1 210 ratings 3 reviews,123.85,89.7
53,76006,Iron Man: Extremis Sea Port Battle ,7 Mar 2013 - 31 Dec 2014 (1y 9m 24d),2013,19.99,45.91400000000001,26.191,✭✭✭✭✩ 3.4 314 ratings 8 reviews,129.68,31.02
54,76007,Iron Man: Malibu Mansion Attack,7 Mar 2013 - 31 Dec 2014 (1y 9m 24d),2013,39.99,89.38600000000001,49.775000000000006,✭✭✭✭✩ 3.9 245 ratings 4 reviews,123.52,24.47
55,76008,Iron Man vs. The Mandarin: Ultimate Showdown,7 Mar 2013 - 31 Dec 2014 (1y 9m 24d),2013,12.99,35.178000000000004,21.692,✭✭✭✩✩ 2.9 246 ratings 4 reviews,170.81,66.99
56,76014,Spider-Trike vs. Electro,1 Mar 2014 - 31 Jul 2015 (1y 4m 30d),2014,12.99,22.044,11.792000000000002,✭✭✭✩✩ 2.9 203 ratings 5 reviews,69.7,-9.22
57,76015,Doc Ock Truck Heist,1 Mar 2014 - 31 Dec 2015 (1y 10m),2014,19.99,61.259,21.934000000000005,✭✭✭✭✩ 3.9 216 ratings 5 reviews,206.45,9.72
58,76016,Spider-Helicopter Rescue,1 Mar 2014 - 31 Jul 2015 (1y 4m 30d),2014,44.99,62.062000000000005,42.99900000000001,✭✭✭✩✩ 3.1 98 ratings 1 review,37.95,-4.43
59,76017,Avengers: Captain America vs. Hydra,1 Mar 2014 - 31 Dec 2015 (1y 10m),2014,19.99,38.962,16.643,✭✭✭✭✩ 3.7 262 ratings 5 reviews,94.91,-16.74
60,76018,Avengers: Hulk Lab Smash,1 Mar 2014 - 31 Dec 2015 (1y 10m),2014,49.99,90.81600000000002,61.655,✭✭✭✭✩ 3.9 177 ratings 2 reviews,81.67,23.33
61,76019,Starblaster Showdown ,1 Jun 2014 - 31 Jul 2015 (1y 1m 29d),2014,19.99,57.431000000000004,30.448,✭✭✭✭✩ 3.6 295 ratings 5 reviews,187.3,52.32
62,76020,Knowhere Escape Mission ,1 Jun 2014 - 31 Dec 2015 (1y 6m 30d),2014,39.99,51.01800000000001,38.973000000000006,✭✭✭✭✩ 3.6 266 ratings 3 reviews,27.58,-2.54
