,Código del Set,Nombre del Set,Fecha de Lanzamiento,Año de Lanzamiento,PVP $,Precio como Nuevo $,Precio como Usado $,Valoración de Usuarios,Porcentaje como nuevo,Porcentaje como usado
74,75945,Expecto Patronum,1 Jun 2019 - 31 Dec 2020 (1y 7m),2019,19.99,26.158000000000005,17.094,✭✭✭✭✩ 3.9 587 ratings 9 reviews Brickset review,30.86,-14.49
75,75946,Hungarian Horntail Triwizard Challenge,1 Jun 2019 - 31 Dec 2020 (1y 7m),2019,29.99,43.362,28.138,✭✭✭✭✩ 3.7 308 ratings 2 reviews,44.59,-6.18
76,75947,Hagrid's Hut: Buckbeak's Rescue,1 Jun 2019 - 31 Dec 2021 (2y 7m),2019,59.99,57.38700000000001,38.665,✭✭✭✭✩ 4.1 562 ratings 5 reviews Brickset review,-4.34,-35.55
77,75948,Hogwarts Clock Tower,1 Jun 2019 - 31 Dec 2022 (3y 7m),2019,89.99,68.39800000000001,53.581,✭✭✭✭✩ 4.2 542 ratings 2 reviews,-23.99,-40.46
78,75950,Aragog's Lair,1 Aug 2018 - 31 Dec 2019 (1y 4m 30d),2018,14.99,31.009000000000004,12.771,✭✭✭✭✩ 3.8 557 ratings 8 reviews Brickset review,106.86,-14.8
79,75951,Grindelwald's Escape,1 Aug 2018 - 31 Dec 2019 (1y 4m 30d),2018,19.99,21.769000000000002,14.487000000000002,✭✭✭✭✩ 3.8 441 ratings 4 reviews Brickset review,8.9,-27.53
80,75952,Newt's Case of Magical Creatures,1 Aug 2018 - 31 Dec 2019 (1y 4m 30d),2018,49.99,63.31600000000001,37.807,✭✭✭✭✩ 4.2 392 ratings 4 reviews Brickset review,26.66,-24.37
81,75953,Hogwarts Whomping Willow,1 Aug 2018 - 31 Dec 2021 (3y 5m),2018,69.99,62.37000000000001,44.132,✭✭✭✭✩ 4.1 684 ratings 4 reviews Brickset review,-10.89,-36.95
82,75954,Hogwarts Great Hall,1 Aug 2018 - 31 Jul 2021 (2y 11m 29d),2018,99.99,110.51700000000001,63.459,✭✭✭✭✭ 4.3 875 ratings 8 reviews Brickset review,10.53,-36.53
83,75955,Hogwarts Express,1 Aug 2018 - 31 Dec 2022 (4y 4m 30d),2018,79.99,81.334,46.211,✭✭✭✭✩ 4.2 771 ratings 7 reviews Brickset review,1.68,-42.23
84,75956,Quidditch Match,1 Aug 2018 - 31 Dec 2020 (2y 5m),2018,39.99,60.544000000000004,36.509,✭✭✭✭✩ 3.9 466 ratings 2 reviews Brickset review,51.4,-8.7
85,75957,The Knight Bus,1 Jun 2019 - 31 Dec 2021 (2y 7m),2019,39.99,53.075,26.587000000000003,✭✭✭✭✩ 4.1 521 ratings 4 reviews Brickset review,32.72,-33.52
86,75958,Beauxbatons' Carriage: Arrival at Hogwarts ,1 Aug 2019 - 31 Dec 2020 (1y 5m),2019,49.99,61.40200000000001,47.42100000000001,✭✭✭✭✩ 3.9 264 ratings Brickset review,22.83,-5.14
