SetID,Number,Variant,YearFrom,Category,Theme,ThemeGroup,Subtheme,SetName,Image,ImageFilename,USRetailPrice,UKRetailPrice,CARetailPrice,DERetailPrice,USDateAdded,USDateRemoved,Pieces,Minifigs,PackagingType,Availability,USItemNumber,EUItemNumber,EAN,UPC,Width,Height,Depth,Weight,AgeMin,AgeMax,OwnCount,WantCount,InstructionsCount,AdditionalImageCount,Released,Rating,BrickLinkSoldPriceNew,BrickLinkSoldPriceUsed,Designers,LaunchDate,ExitDate,Own,Want,QtyOwned,QtyOwnedNew,QtyOwnedUsed,QtyWanted,WantedPriority,,Flag2,Flag3,Flag4,Flag5,Flag6,Flag7,Flag8,UserNotes
"6940","8039","1","2009","Normal","Star Wars","Licensed","The Clone Wars","Venator-class Republic Attack Cruiser","X","8039-1","119.99","102.99","149.99","","28/06/2009 00:00:00","03/12/2010 00:00:00","1170","5","Box","{Not specified}","4540025","4534741","5702014533370","673419111911","58.2","37.8","8.7","1.95","9","14","8198","8319","2","16","X","89","547.6100","256.6900","","01/06/2009 00:00:00","31/12/2011 00:00:00","","","0","0","0","0","0","","","","","","","","",""
"7208","8083","1","2010","Normal","Star Wars","Licensed","Episode V","Rebel Trooper Battle Pack","X","8083-1","11.99","9.99","14.99","","30/12/2009 00:00:00","27/12/2011 00:00:00","79","4","Box","{Not specified}","4567479","4559574","5702014601222","673419129008","19.1","14.1","4.6","0.13","6","12","24588","3406","1","10","X","194","25.5000","13.1600","","01/01/2010 00:00:00","31/12/2011 00:00:00","","","0","0","0","0","0","","","","","","","","",""
"7206","8084","1","2010","Normal","Star Wars","Licensed","Episode V","Snowtrooper Battle Pack","X","8084-1","11.99","9.99","14.99","","30/12/2009 00:00:00","26/12/2011 00:00:00","74","4","Box","{Not specified}","4567480","4559575","5702014601239","673419129015","19.1","14.1","4.6","0.11","6","12","26053","3725","1","9","X","177","30.8500","13.3700","","01/01/2010 00:00:00","31/12/2011 00:00:00","","","0","0","0","0","0","","","","","","","","",""
"7207","8085","1","2010","Normal","Star Wars","Licensed","The Clone Wars","Freeco Speeder","X","8085-1","24.99","21.99","34.99","","30/12/2009 00:00:00","04/12/2011 00:00:00","177","2","Box","{Not specified}","4567481","4559576","","673419129022","28.19","26.19","6.4","0.36","7","12","13057","3689","2","10","X","116","52.4700","19.9800","Jan Neergaard Olesen,","01/01/2010 00:00:00","31/12/2011 00:00:00","","","0","0","0","0","0","","","","","","","","",""
"7209","8086","1","2010","Normal","Star Wars","Licensed","The Clone Wars","Droid Tri-Fighter","X","8086-1","24.99","25.99","34.99","","30/12/2009 00:00:00","29/11/2011 00:00:00","268","3","Box","{Not specified}","4567482","4559577","5702014601253","673419129039","28.19","26.19","6.4","0.38","7","12","12120","3755","2","10","X","71","90.3800","33.1100","","01/01/2010 00:00:00","31/12/2011 00:00:00","","","0","0","0","0","0","","","","","","","","",""
"7211","8087","1","2010","Normal","Star Wars","Licensed","Legends","TIE Defender","X","8087-1","49.99","39.99","69.99","","30/12/2009 00:00:00","25/12/2010 00:00:00","304","2","Box","{Not specified}","4567483","4559578","","673419129046","35.41","37.8","7.06","0.69","8","14","7292","5766","2","6","X","82","165.8100","80.8400","","01/01/2010 00:00:00","31/07/2011 00:00:00","","","0","0","0","0","0","","","","","","","","",""
"7212","8088","1","2010","Normal","Star Wars","Licensed","Episode III","ARC-170 Starfighter","X","8088-1","59.99","49.99","79.99","","30/12/2009 00:00:00","05/05/2012 00:00:00","396","4","Box","{Not specified}","4567485","4559579","5702014601277","673419129053","54","28.19","5.89","0.92","8","14","12274","7106","2","13","X","169","278.9000","138.2500","","01/02/2010 00:00:00","31/12/2011 00:00:00","","","0","0","0","0","0","","","","","","","","",""
"7576","8089","1","2010","Normal","Star Wars","Licensed","Episode V","Hoth Wampa Cave","X","8089-1","39.99","35.99","54.99","","30/07/2010 00:00:00","23/11/2011 00:00:00","297","3","Box","{Not specified}","4567486","4560226","5702014601284","673419129060","38.2","26.19","5.64","0.59","7","12","15572","5361","1","13","X","149","107.7000","65.6500","","01/06/2010 00:00:00","31/12/2011 00:00:00","","","0","0","0","0","0","","","","","","","","",""
"7570","8091","1","2010","Normal","Star Wars","Licensed","Episode III","Republic Swamp Speeder","X","8091-1","29.99","30.99","39.99","","04/01/2010 00:00:00","06/02/2012 00:00:00","176","5","Box","Retail","4567487","4559580","5702014601291","673419129077","38.2","26.2","5.7","","7","12","7652","3978","1","12","X","104","73.0400","34.1600","","01/01/2010 00:00:00","31/12/2011 00:00:00","","","0","0","0","0","0","","","","","","","","",""
"7213","8092","1","2010","Normal","Star Wars","Licensed","Episode IV","Luke's Landspeeder","X","8092-1","24.99","25.99","34.99","","04/01/2010 00:00:00","26/11/2012 00:00:00","163","6","Box","Retail","4567488","4559581","5702014601307","673419129084","28.2","26.2","4.6","","7","12","19912","3780","2","9","X","197","44.0300","21.7000","Adam Grabowski,","01/01/2010 00:00:00","31/12/2012 00:00:00","","","0","0","0","0","0","","","","","","","","",""
